pmid,year,title,abstract,text,char_len,word_len,similarity_score
41432271,2025,Potential Significance of CCL17 in Psoriatic Arthritis.,,Potential Significance of CCL17 in Psoriatic Arthritis.,55,7,0.2958769450121919
41613117,2025,"The clinical characteristics, mechanism and management of immune checkpoint inhibitor-related arthritis.","Immune-related adverse events, notably arthritis (irAE-arthritis), frequently occur in patients receiving immune checkpoint inhibitors. Arthritis severity varies from mild to severe, adversely impacting quality of life. Despite reports in clinical trials and real-world studies, the pathophysiology and optimal management of irAE-associated arthritis (irAE-arthritis) are still unclear. From the inception to September 25, 2025, a search was conducted on PubMed, EMBASE, and MEDLINE for case reports/series on irAE-arthritis. The most common rheumatic irAEs were arthritis. Various rheumatic syndromes have been reported, such as arthralgia, mono-/oligo-/polyarthritis, reactive and psoriatic arthritis, RS3PE, tenosynovitis. The onset of irAE-arthritis is attributed to T cell dysregulation, B cell activation with autoantibody production, cytokine - mediated inflammation, and impaired immune tolerance due to Treg dysfunction. NSAIDs, intra-articular/systemic corticosteroids, csDMARDs, and biologics play key roles in irAE-arthritis management, and JAK inhibitors may emerge as a significant therapeutic strategy in the future. Given the increasing use of immunotherapy in oncology and other fields, developing a comprehensive understanding of irAE-arthritis is crucial. This review aims to provide an in-depth overview of current knowledge on irAE-arthritis, including its epidemiology, clinical presentation, underlying mechanisms, and management approaches.","The clinical characteristics, mechanism and management of immune checkpoint inhibitor-related arthritis. Immune-related adverse events, notably arthritis (irAE-arthritis), frequently occur in patients receiving immune checkpoint inhibitors. Arthritis severity varies from mild to severe, adversely impacting quality of life. Despite reports in clinical trials and real-world studies, the pathophysiology and optimal management of irAE-associated arthritis (irAE-arthritis) are still unclear. From the inception to September 25, 2025, a search was conducted on PubMed, EMBASE, and MEDLINE for case reports/series on irAE-arthritis. The most common rheumatic irAEs were arthritis. Various rheumatic syndromes have been reported, such as arthralgia, mono-/oligo-/polyarthritis, reactive and psoriatic arthritis, RS3PE, tenosynovitis. The onset of irAE-arthritis is attributed to T cell dysregulation, B cell activation with autoantibody production, cytokine - mediated inflammation, and impaired immune tolerance due to Treg dysfunction. NSAIDs, intra-articular/systemic corticosteroids, csDMARDs, and biologics play key roles in irAE-arthritis management, and JAK inhibitors may emerge as a significant therapeutic strategy in the future. Given the increasing use of immunotherapy in oncology and other fields, developing a comprehensive understanding of irAE-arthritis is crucial. This review aims to provide an in-depth overview of current knowledge on irAE-arthritis, including its epidemiology, clinical presentation, underlying mechanisms, and management approaches.",1569,196,0.15944387094357745
41471291,2025,Myricetin Attenuates IMQ-Induced Psoriatic Inflammation Through Multi-Target Modulation: Evidence from Network Pharmacology and Experimental Validation.,"<b>Background</b>: Psoriasis is a chronic inflammatory skin disease driven by keratinocyte hyperproliferation and immune dysregulation. Despite the availability of biologics and immunosuppressants, recurrence and adverse effects remain major limitations. Myricetin (Myr), a natural flavonoid with well-documented anti-inflammatory and immunomodulatory properties, has shown promise in inflammatory disorders; however, its efficacy and mechanisms in psoriasis have not been fully elucidated. <b>Methods</b>: The therapeutic effects of topical Myr (0.5-2%) were evaluated in an imiquimod (IMQ)-induced psoriatic mouse model. Network pharmacology and molecular docking were employed to predict potential targets, followed by validation using histological analysis, cytokine profiling, qPCR, and Western blotting. <b>Results</b>: Network analysis identified 52 overlapping targets between Myr and psoriasis, including TNF, PTGS2, MMP9, and EGFR, with enrichment in TNF, IL-17, and PI3K/AKT signaling pathways. Myr treatment significantly alleviated IMQ-induced erythema, scaling, and epidermal thickening, improved skin-barrier function, and reduced the expression of IL-6, IL-17A, and TNF-α. Molecular docking showed strong binding affinities of Myr with TNF, PTGS2, MMP9, and EGFR. Western blotting confirmed that Myr suppressed EGFR and AKT phosphorylation and downregulated <i>Mmp9</i>, <i>Ptgs2</i>, and <i>Tnf</i> expression. <b>Conclusions</b>: Myr exerts multi-target anti-psoriatic effects by inhibiting the EGFR/AKT axis and inflammatory mediators, highlighting its potential as a safe and effective natural therapeutic agent for psoriasis.","Myricetin Attenuates IMQ-Induced Psoriatic Inflammation Through Multi-Target Modulation: Evidence from Network Pharmacology and Experimental Validation. <b>Background</b>: Psoriasis is a chronic inflammatory skin disease driven by keratinocyte hyperproliferation and immune dysregulation. Despite the availability of biologics and immunosuppressants, recurrence and adverse effects remain major limitations. Myricetin (Myr), a natural flavonoid with well-documented anti-inflammatory and immunomodulatory properties, has shown promise in inflammatory disorders; however, its efficacy and mechanisms in psoriasis have not been fully elucidated. <b>Methods</b>: The therapeutic effects of topical Myr (0.5-2%) were evaluated in an imiquimod (IMQ)-induced psoriatic mouse model. Network pharmacology and molecular docking were employed to predict potential targets, followed by validation using histological analysis, cytokine profiling, qPCR, and Western blotting. <b>Results</b>: Network analysis identified 52 overlapping targets between Myr and psoriasis, including TNF, PTGS2, MMP9, and EGFR, with enrichment in TNF, IL-17, and PI3K/AKT signaling pathways. Myr treatment significantly alleviated IMQ-induced erythema, scaling, and epidermal thickening, improved skin-barrier function, and reduced the expression of IL-6, IL-17A, and TNF-α. Molecular docking showed strong binding affinities of Myr with TNF, PTGS2, MMP9, and EGFR. Western blotting confirmed that Myr suppressed EGFR and AKT phosphorylation and downregulated <i>Mmp9</i>, <i>Ptgs2</i>, and <i>Tnf</i> expression. <b>Conclusions</b>: Myr exerts multi-target anti-psoriatic effects by inhibiting the EGFR/AKT axis and inflammatory mediators, highlighting its potential as a safe and effective natural therapeutic agent for psoriasis.",1799,219,0.14989510811346435
41467275,2025,Impact of urogenital and enterocolitic infections on the onset and evolution of ankylosing spondylitis and psoriatic arthritis.,"Infections such as Chlamydiatrachomatis and Yersiniaenterocolitica are recognized triggers of reactive arthritis, but their role in chronic spondyloarthritis (SpA)-including ankylosing spondylitis (AS) and psoriatic arthritis (PsA)-remains incompletely defined.","Impact of urogenital and enterocolitic infections on the onset and evolution of ankylosing spondylitis and psoriatic arthritis. Infections such as Chlamydiatrachomatis and Yersiniaenterocolitica are recognized triggers of reactive arthritis, but their role in chronic spondyloarthritis (SpA)-including ankylosing spondylitis (AS) and psoriatic arthritis (PsA)-remains incompletely defined.",389,45,0.14610886651359578
41465136,2025,From Skin to Brain: Key Genetic Mediators Associating Cutaneous Inflammation and Neurodegenerative Diseases.,"Chronic inflammatory skin diseases and neurodegenerative disorders share overlapping genetic, immunologic, and metabolic pathways that may predispose individuals to cognitive decline. This review synthesizes current human genomic, transcriptomic, and bioinformatic evidence linking psoriasis, rosacea, atopic dermatitis, and bullous pemphigoid with Alzheimer's and Parkinson's disease. Literature from PubMed, IEEE Xplore, and Google Scholar was examined, prioritizing studies integrating genomic, transcriptomic, and proteomic analyses. Among inflammatory dermatoses, psoriasis exhibits the strongest overlap with dementia genetics, with shared susceptibility loci including <i>APOE</i>, <i>IL12B</i>, and <i>HLA-DRB5</i>, and transcriptional regulators such as <i>ZNF384</i> that converge on IL-17/TNF signaling. Rare-variant and pleiotropy analyses further implicate <i>SETD1A</i> and <i>BC070367</i> in psoriasis-Parkinson's comorbidity. Rosacea demonstrates upregulation of neurodegeneration-related proteins SNCA, GSK3B, and HSPA8, together with shared regulatory hubs (<i>PPARG</i>, <i>STAT4</i>, <i>RORA</i>) driving NF-κB/IL-17/TNF-dependent inflammation. In atopic dermatitis, rare <i>FLG</i> variants interacting with <i>BACE1</i> suggest a mechanistic bridge between barrier dysfunction and amyloidogenic processing. Bullous pemphigoid reveals an <i>HLA-DQB1*</i>03:01-mediated immunogenetic link hypothesis and cross-reactive autoantibodies targeting BP180 (collagen XVII) and BP230, highlighting an autoimmune route of neurocutaneous interaction. Other inflammatory and neurodegenerative diseases with currently weak or limited genetic evidence are also discussed, as they may represent emerging biological pathways or potential therapeutic targets within the skin-brain connection in the future. The aim of this work is to help clarify these genetic links and to advocate for the routine cognitive assessment of affected patients, enabling early detection, improved long-term quality of life, and the potential for timely therapeutic intervention.","From Skin to Brain: Key Genetic Mediators Associating Cutaneous Inflammation and Neurodegenerative Diseases. Chronic inflammatory skin diseases and neurodegenerative disorders share overlapping genetic, immunologic, and metabolic pathways that may predispose individuals to cognitive decline. This review synthesizes current human genomic, transcriptomic, and bioinformatic evidence linking psoriasis, rosacea, atopic dermatitis, and bullous pemphigoid with Alzheimer's and Parkinson's disease. Literature from PubMed, IEEE Xplore, and Google Scholar was examined, prioritizing studies integrating genomic, transcriptomic, and proteomic analyses. Among inflammatory dermatoses, psoriasis exhibits the strongest overlap with dementia genetics, with shared susceptibility loci including <i>APOE</i>, <i>IL12B</i>, and <i>HLA-DRB5</i>, and transcriptional regulators such as <i>ZNF384</i> that converge on IL-17/TNF signaling. Rare-variant and pleiotropy analyses further implicate <i>SETD1A</i> and <i>BC070367</i> in psoriasis-Parkinson's comorbidity. Rosacea demonstrates upregulation of neurodegeneration-related proteins SNCA, GSK3B, and HSPA8, together with shared regulatory hubs (<i>PPARG</i>, <i>STAT4</i>, <i>RORA</i>) driving NF-κB/IL-17/TNF-dependent inflammation. In atopic dermatitis, rare <i>FLG</i> variants interacting with <i>BACE1</i> suggest a mechanistic bridge between barrier dysfunction and amyloidogenic processing. Bullous pemphigoid reveals an <i>HLA-DQB1*</i>03:01-mediated immunogenetic link hypothesis and cross-reactive autoantibodies targeting BP180 (collagen XVII) and BP230, highlighting an autoimmune route of neurocutaneous interaction. Other inflammatory and neurodegenerative diseases with currently weak or limited genetic evidence are also discussed, as they may represent emerging biological pathways or potential therapeutic targets within the skin-brain connection in the future. The aim of this work is to help clarify these genetic links and to advocate for the routine cognitive assessment of affected patients, enabling early detection, improved long-term quality of life, and the potential for timely therapeutic intervention.",2171,253,0.13874116779836274
41465233,2025,"Kynurenic Acid Analog Attenuates the Production of Tumor Necrosis Factor-α, Calgranulins (S100A 8/9 and S100A 12), and the Secretion of HNP1-3, and Stimulates the Production of Tumor Necrosis Factor-Stimulated Gene-6 (TSG-6) but Does Not Alter IL-17 Levels in Whole-Blood Cultures of Patients with Spondyloarthritis.","Kynurenic acid (KYNA) has recognized anti-inflammatory and immunosuppressive properties. Previous studies demonstrated that KYNA reduces TNF-α, S100A12, S100A8/9, and α-defensin production while increasing tumor necrosis factor-stimulated gene-6 protein (TSG-6) levels in rheumatoid arthritis. This study evaluated a synthetic KYNA analog's effects on TNF-α, S100A8/9, S100A12, α-defensin, and interleukin-17 (IL-17) production and TSG-6 expression in ankylosing spondylitis (AS) and psoriatic arthritis (PsA). Peripheral blood mononuclear cells from 54 AS and 38 PsA patients and 11 healthy controls were stimulated with heat-inactivated <i>Staphylococcus aureus</i> (SA1). Parallel cultures were pretreated with the KYNA analog. Cytokine and alarmin concentrations were measured by ELISA. SA1 stimulation increased TNF-α, TSG-6, calprotectin, and α-defensin production, with minimal effects on S100A12 and none on IL-17. The KYNA analog significantly reduced SA1-induced TNF-α, calprotectin, and α-defensin levels and enhanced TSG-6 production, without affecting S100A12 or IL-17. Notably, the TNF-α inhibitory and TSG-6 stimulatory effects were inversely correlated. Conclusion: KYNA analogs may exert anti-inflammatory effects via TSG-6 upregulation, contributing to the suppression of key cytokines. These findings support further exploration of KYNA derivatives as therapeutic options in immune-mediated diseases including AS and PsA.","Kynurenic Acid Analog Attenuates the Production of Tumor Necrosis Factor-α, Calgranulins (S100A 8/9 and S100A 12), and the Secretion of HNP1-3, and Stimulates the Production of Tumor Necrosis Factor-Stimulated Gene-6 (TSG-6) but Does Not Alter IL-17 Levels in Whole-Blood Cultures of Patients with Spondyloarthritis. Kynurenic acid (KYNA) has recognized anti-inflammatory and immunosuppressive properties. Previous studies demonstrated that KYNA reduces TNF-α, S100A12, S100A8/9, and α-defensin production while increasing tumor necrosis factor-stimulated gene-6 protein (TSG-6) levels in rheumatoid arthritis. This study evaluated a synthetic KYNA analog's effects on TNF-α, S100A8/9, S100A12, α-defensin, and interleukin-17 (IL-17) production and TSG-6 expression in ankylosing spondylitis (AS) and psoriatic arthritis (PsA). Peripheral blood mononuclear cells from 54 AS and 38 PsA patients and 11 healthy controls were stimulated with heat-inactivated <i>Staphylococcus aureus</i> (SA1). Parallel cultures were pretreated with the KYNA analog. Cytokine and alarmin concentrations were measured by ELISA. SA1 stimulation increased TNF-α, TSG-6, calprotectin, and α-defensin production, with minimal effects on S100A12 and none on IL-17. The KYNA analog significantly reduced SA1-induced TNF-α, calprotectin, and α-defensin levels and enhanced TSG-6 production, without affecting S100A12 or IL-17. Notably, the TNF-α inhibitory and TSG-6 stimulatory effects were inversely correlated. Conclusion: KYNA analogs may exert anti-inflammatory effects via TSG-6 upregulation, contributing to the suppression of key cytokines. These findings support further exploration of KYNA derivatives as therapeutic options in immune-mediated diseases including AS and PsA.",1757,227,0.13872966392769287
41480890,2025,"Comment on ""Real-world efficacy and retention of guselkumab in psoriatic arthritis: a 12-month multicenter study.","This Letter to the Editor provides a constructive methodological commentary on the recently published article ""Real-world efficacy and retention of guselkumab in psoriatic arthritis."" We address issues related to the completers-only analysis, interpretation of axial domain outcomes, and absence of standardized response criteria such as ASAS20/40. Recommendations are proposed to improve the validity and comparability of real-world studies in psoriatic arthritis, with emphasis on axial disease assessment and time-to-event modeling.","Comment on ""Real-world efficacy and retention of guselkumab in psoriatic arthritis: a 12-month multicenter study. This Letter to the Editor provides a constructive methodological commentary on the recently published article ""Real-world efficacy and retention of guselkumab in psoriatic arthritis."" We address issues related to the completers-only analysis, interpretation of axial domain outcomes, and absence of standardized response criteria such as ASAS20/40. Recommendations are proposed to improve the validity and comparability of real-world studies in psoriatic arthritis, with emphasis on axial disease assessment and time-to-event modeling.",649,85,0.13853392962235922
41583484,2025,The research potential of A20 in psoriatic arthritis.,"Psoriasis, a systemic inflammatory disorder, extends beyond its classical dermatological presentation to encompass multiple manifestations including arthritis, inflammatory bowel disease, ocular inflammation (conjunctivitis/uveitis), and cardiovascular manifestations such as aortic valve pathology. While cutaneous manifestations have been extensively characterized, psoriatic arthritis (PsA) remains challenging to investigate, primarily due to the paucity of suitable experimental models that accurately recapitulate human disease. The ubiquitin-editing enzyme A20 (encoded by TNFAIP3) emerges as a critical regulatory molecule, serving dual functions in suppressing NF-κB signaling pathways and modulating programmed cell death mechanisms. Genome-wide association studies have established TNFAIP3 polymorphisms as susceptibility loci for both psoriasis and PsA. Murine models with A20 deficiencies demonstrate spontaneous development of cutaneous psoriasiform lesions and articular inflammation, with genetic manipulation techniques generating diverse mutation patterns that manifest in heterogeneous phenotypes. Systematic analysis of these preclinical models offers valuable insights into the molecular pathogenesis of PsA, potentially bridging current knowledge gaps in disease mechanisms and therapeutic target identification.","The research potential of A20 in psoriatic arthritis. Psoriasis, a systemic inflammatory disorder, extends beyond its classical dermatological presentation to encompass multiple manifestations including arthritis, inflammatory bowel disease, ocular inflammation (conjunctivitis/uveitis), and cardiovascular manifestations such as aortic valve pathology. While cutaneous manifestations have been extensively characterized, psoriatic arthritis (PsA) remains challenging to investigate, primarily due to the paucity of suitable experimental models that accurately recapitulate human disease. The ubiquitin-editing enzyme A20 (encoded by TNFAIP3) emerges as a critical regulatory molecule, serving dual functions in suppressing NF-κB signaling pathways and modulating programmed cell death mechanisms. Genome-wide association studies have established TNFAIP3 polymorphisms as susceptibility loci for both psoriasis and PsA. Murine models with A20 deficiencies demonstrate spontaneous development of cutaneous psoriasiform lesions and articular inflammation, with genetic manipulation techniques generating diverse mutation patterns that manifest in heterogeneous phenotypes. Systematic analysis of these preclinical models offers valuable insights into the molecular pathogenesis of PsA, potentially bridging current knowledge gaps in disease mechanisms and therapeutic target identification.",1388,164,0.1292481880177822
41482120,2025,Interleukin-23 inhibitors are associated with reduced incidence of psoriatic arthritis: Insights from TriNetX.,,Interleukin-23 inhibitors are associated with reduced incidence of psoriatic arthritis: Insights from TriNetX.,110,13,0.12041685519408861
41409533,2025,How Scalp Trichoscopy Aids in the Diagnosis of Psoriasis in the Setting of Psoriatic Arthritis: Case Report.,"Psoriasis is a chronic, immune-mediated skin disease that affects approximately 125 million people worldwide. Psoriatic arthritis (PsA), a complex chronic inflammatory arthritis, is classified as part of the spondyloarthritis spectrum, along with primary ankylosing spondylitis, reactive arthritis, arthritis associated with inflammatory bowel disease, and undifferentiated spondyloarthritis. We report 2 cases of patients with arthropathy who were referred by a rheumatologist. Thorough physical examination of the skin and nails revealed no psoriatic changes. However, despite the absence of scalp-related complaints, a diagnosis of psoriasis was established based on trichoscopic findings. Cases in which patients with PsA have even mild cutaneous psoriatic lesions are common, making the diagnosis easier. The 2 cases described above highlight the role of trichoscopy and emphasize the importance of collaboration between dermatologists and rheumatologists. When rheumatologists investigate possible causes of arthritis and consider PsA as a differential diagnosis, referring the patient to a dermatologist is important. On the other hand, in cases of scalp psoriasis, if arthropathy is present, the patient should consult a rheumatologist to determine whether joint involvement is caused by another rheumatologic condition. In clinical practice, scalp psoriasis is frequently observed as an independent condition, and its presence does not exclude the possibility of other coexisting pathologies.","How Scalp Trichoscopy Aids in the Diagnosis of Psoriasis in the Setting of Psoriatic Arthritis: Case Report. Psoriasis is a chronic, immune-mediated skin disease that affects approximately 125 million people worldwide. Psoriatic arthritis (PsA), a complex chronic inflammatory arthritis, is classified as part of the spondyloarthritis spectrum, along with primary ankylosing spondylitis, reactive arthritis, arthritis associated with inflammatory bowel disease, and undifferentiated spondyloarthritis. We report 2 cases of patients with arthropathy who were referred by a rheumatologist. Thorough physical examination of the skin and nails revealed no psoriatic changes. However, despite the absence of scalp-related complaints, a diagnosis of psoriasis was established based on trichoscopic findings. Cases in which patients with PsA have even mild cutaneous psoriatic lesions are common, making the diagnosis easier. The 2 cases described above highlight the role of trichoscopy and emphasize the importance of collaboration between dermatologists and rheumatologists. When rheumatologists investigate possible causes of arthritis and consider PsA as a differential diagnosis, referring the patient to a dermatologist is important. On the other hand, in cases of scalp psoriasis, if arthropathy is present, the patient should consult a rheumatologist to determine whether joint involvement is caused by another rheumatologic condition. In clinical practice, scalp psoriasis is frequently observed as an independent condition, and its presence does not exclude the possibility of other coexisting pathologies.",1610,220,0.1159569649792104
