pmid,year,title,abstract,text,label
41647765,2025,PDE4 Inhibitor-Responsive Dermatoses: An Emerging Concept in Dermatology.,"Many inflammatory skin conditions share mechanistic pathways involving multiple receptors and cytokines. Perhaps there is no better endorsement of this idea than the foundational concept of ""steroid-responsive dermatoses."" Similarly, targeting the phosphodiesterase 4 (PDE4) enzyme, which exists at the crux of several pathways that contribute to inflammatory skin diseases, offers an avenue by which the pathogenesis of multiple conditions may be interrupted. This suggests that PDE4 inhibitors may assume a similar complementary framework for treating ""PDE4 inhibitor-responsive dermatoses."" Certain formulations of PDE4 inhibitors (including apremilast, crisaborole, and roflumilast) have undergone rigorous investigation in clinical trials and demonstrated robust efficacy and safety in many dermatologic conditions, achieving United States Food and Drug Administration approval for atopic dermatitis, psoriasis, and seborrheic dermatitis. Herein, we summarize the clinical evidence supporting the emerging concept of ""PDE4 inhibitor-responsive dermatoses"" and propose that PDE4 inhibition offers an additional pathway to achieving desired clinical outcomes.","PDE4 Inhibitor-Responsive Dermatoses: An Emerging Concept in Dermatology. Many inflammatory skin conditions share mechanistic pathways involving multiple receptors and cytokines. Perhaps there is no better endorsement of this idea than the foundational concept of ""steroid-responsive dermatoses."" Similarly, targeting the phosphodiesterase 4 (PDE4) enzyme, which exists at the crux of several pathways that contribute to inflammatory skin diseases, offers an avenue by which the pathogenesis of multiple conditions may be interrupted. This suggests that PDE4 inhibitors may assume a similar complementary framework for treating ""PDE4 inhibitor-responsive dermatoses."" Certain formulations of PDE4 inhibitors (including apremilast, crisaborole, and roflumilast) have undergone rigorous investigation in clinical trials and demonstrated robust efficacy and safety in many dermatologic conditions, achieving United States Food and Drug Administration approval for atopic dermatitis, psoriasis, and seborrheic dermatitis. Herein, we summarize the clinical evidence supporting the emerging concept of ""PDE4 inhibitor-responsive dermatoses"" and propose that PDE4 inhibition offers an additional pathway to achieving desired clinical outcomes.",therapy_treatment
41647271,2025,Co-Occurrence of Psoriasis/Psoriatic Arthritis and Antiphospholipid Syndrome: A Series of Nine Patients from a Single Centre and Literature Review.,"Antiphospholipid syndrome (APS) is associated with pathogenic antiphospholipid antibodies that lead to repeated arterial and venous thromboses and obstetric complications. Psoriatic Arthritis (PsA) is an inflammatory disease characterised by musculoskeletal inflammation and psoriasis (PsO). Evidence for their co-occurrence is scarce. Nine patients with concurrent PsO/PsA and APS, from the APS cohort of the Department of Pathophysiology of LAIKO Hospital of Athens, were identified. APS was the first manifestation in two patients, while seven had PsO/PsA prior to developing APS. Three patients experienced peripheral arthritis, while four showed axial involvement. Regarding APS events, four patients experienced venous thrombosis, five had arterial thrombosis, and three had simultaneous venous and arterial thrombosis. Six patients consistently tested positive for Lupus Anticoagulant, while anti-cardiolipin IgG/IgM antibodies were our cases' second most common antiphospholipid antibodies. Further research is warranted to determine whether the IL-23/IL-17 axis is a common denominator in the pathogenesis of both diseases.","Co-Occurrence of Psoriasis/Psoriatic Arthritis and Antiphospholipid Syndrome: A Series of Nine Patients from a Single Centre and Literature Review. Antiphospholipid syndrome (APS) is associated with pathogenic antiphospholipid antibodies that lead to repeated arterial and venous thromboses and obstetric complications. Psoriatic Arthritis (PsA) is an inflammatory disease characterised by musculoskeletal inflammation and psoriasis (PsO). Evidence for their co-occurrence is scarce. Nine patients with concurrent PsO/PsA and APS, from the APS cohort of the Department of Pathophysiology of LAIKO Hospital of Athens, were identified. APS was the first manifestation in two patients, while seven had PsO/PsA prior to developing APS. Three patients experienced peripheral arthritis, while four showed axial involvement. Regarding APS events, four patients experienced venous thrombosis, five had arterial thrombosis, and three had simultaneous venous and arterial thrombosis. Six patients consistently tested positive for Lupus Anticoagulant, while anti-cardiolipin IgG/IgM antibodies were our cases' second most common antiphospholipid antibodies. Further research is warranted to determine whether the IL-23/IL-17 axis is a common denominator in the pathogenesis of both diseases.",clinical_comorbidity
41640533,2025,Phosphodiesterase 4 inhibitor combined with secukinumab relieves clinical symptoms in patients with psoriasis via regulating p38MAPK activation and the immune response inflammation.,"The purpose of the present study was to explore the effect of phosphodiesterase 4 (PDE-4) inhibitor combined with secukinumab monoclonal antibody on the activation level of p38 mitogen-activated protein kinases (p38MAPK) in psoriatic leukocytes. The clinical data of 60 patients with psoriasis were retrospectively analyzed, and they were divided into a control group (secukinumab monotherapy, 30 cases) and a study group (PDE-4 inhibitory therapy). Agent combined with secukinumab treatment(30 cases), all were treated for 3 months. The Psoriasis Area and Severity Index (PASI), clinical symptom score, serum inflammatory factors, p38MAPK gene expression in lesion tissue, and clinical outcome were compared between the two groups. After treatment, the PSAI score (t=5.051) and symptom score (t=14.102) of the study group were lower than those of the control group, and the relative expression of interleukin-6 (IL-6) (t=7.514) and p38MAPK (t=4.219), the relative expression of interleukin-17 (IL-17) (t=2.579) was lower than that of the control group. The total effective rate in the study group (83.33% vs. 60.00%) was higher than that in the control group. Secukinumab along with phosphodiesterase 4 inhibitors reduces p38MAPK activation, and improves immune response, inflammation, and clinical symptoms in patients with psoriasis.","Phosphodiesterase 4 inhibitor combined with secukinumab relieves clinical symptoms in patients with psoriasis via regulating p38MAPK activation and the immune response inflammation. The purpose of the present study was to explore the effect of phosphodiesterase 4 (PDE-4) inhibitor combined with secukinumab monoclonal antibody on the activation level of p38 mitogen-activated protein kinases (p38MAPK) in psoriatic leukocytes. The clinical data of 60 patients with psoriasis were retrospectively analyzed, and they were divided into a control group (secukinumab monotherapy, 30 cases) and a study group (PDE-4 inhibitory therapy). Agent combined with secukinumab treatment(30 cases), all were treated for 3 months. The Psoriasis Area and Severity Index (PASI), clinical symptom score, serum inflammatory factors, p38MAPK gene expression in lesion tissue, and clinical outcome were compared between the two groups. After treatment, the PSAI score (t=5.051) and symptom score (t=14.102) of the study group were lower than those of the control group, and the relative expression of interleukin-6 (IL-6) (t=7.514) and p38MAPK (t=4.219), the relative expression of interleukin-17 (IL-17) (t=2.579) was lower than that of the control group. The total effective rate in the study group (83.33% vs. 60.00%) was higher than that in the control group. Secukinumab along with phosphodiesterase 4 inhibitors reduces p38MAPK activation, and improves immune response, inflammation, and clinical symptoms in patients with psoriasis.",immune_inflammation
41640480,2025,Dupilumab-induced generalized pustular psoriasis in a Chinese woman with atopic dermatitis.,,Dupilumab-induced generalized pustular psoriasis in a Chinese woman with atopic dermatitis.,genetics_molecular
41625772,2025,The efficacy and safety of spesolimab in patients with generalized pustular psoriasis flares: a systematic review and meta-analysis.,"Generalized pustular psoriasis (GPP) is a rare, auto-inflammatory skin disease characterized by unpredictable flares, often requiring hospitalization, and current therapies lack robust evidence. To systematically evaluate the efficacy and safety of spesolimab for acute GPP flares. We searched Medline, Google Scholar and the Cochrane Central Register of Controlled Trials from inception to December 2024 and consulted ClinicalTrials.gov and the ISRCTN registry for ongoing studies. Randomized controlled trials enrolling adults experiencing GPP flares and comparing spesolimab with placebo or standard care were eligible. Non-randomized studies, studies without placebo comparators, or without full-text availability were excluded. Two reviewers independently assessed risk of bias using the Cochrane RoB 2 tool and extracted data. A random-effects model was used to pool odds ratios or mean differences with 95% confidence intervals. Four randomized controlled trials with 176 participants met the inclusion criteria. Compared with placebo, spesolimab significantly increased the proportion of patients achieving complete pustular clearance [GPPGA pustulation score 0; OR 4.87 (95% CI 2.03-11.68)] and a total GPPGA score of 0 or 1 [OR 5.68 (95% CI 2.27-14.23)]. Adverse event rates were similar between groups and were mostly mild or moderate. Evidence was limited by the small number and sample size of trials, heterogeneity between studies and short follow-up durations. Spesolimab provides clinically meaningful improvements in pustular clearance and symptom control during acute GPP flares and has a favorable safety profile; however, further large, long-term randomized trials are needed. https://www.crd.york.ac.uk/PROSPERO/view/CRD42025629994, identifier CRD42025629994.","The efficacy and safety of spesolimab in patients with generalized pustular psoriasis flares: a systematic review and meta-analysis. Generalized pustular psoriasis (GPP) is a rare, auto-inflammatory skin disease characterized by unpredictable flares, often requiring hospitalization, and current therapies lack robust evidence. To systematically evaluate the efficacy and safety of spesolimab for acute GPP flares. We searched Medline, Google Scholar and the Cochrane Central Register of Controlled Trials from inception to December 2024 and consulted ClinicalTrials.gov and the ISRCTN registry for ongoing studies. Randomized controlled trials enrolling adults experiencing GPP flares and comparing spesolimab with placebo or standard care were eligible. Non-randomized studies, studies without placebo comparators, or without full-text availability were excluded. Two reviewers independently assessed risk of bias using the Cochrane RoB 2 tool and extracted data. A random-effects model was used to pool odds ratios or mean differences with 95% confidence intervals. Four randomized controlled trials with 176 participants met the inclusion criteria. Compared with placebo, spesolimab significantly increased the proportion of patients achieving complete pustular clearance [GPPGA pustulation score 0; OR 4.87 (95% CI 2.03-11.68)] and a total GPPGA score of 0 or 1 [OR 5.68 (95% CI 2.27-14.23)]. Adverse event rates were similar between groups and were mostly mild or moderate. Evidence was limited by the small number and sample size of trials, heterogeneity between studies and short follow-up durations. Spesolimab provides clinically meaningful improvements in pustular clearance and symptom control during acute GPP flares and has a favorable safety profile; however, further large, long-term randomized trials are needed. https://www.crd.york.ac.uk/PROSPERO/view/CRD42025629994, identifier CRD42025629994.",clinical_comorbidity
41624863,2025,Impact of treatment interruption on the efficacy and safety of vunakizumab in patients with moderate-to-severe plaque psoriasis: a <i>post-hoc</i> analysis of a phase 3 trial.,"Vunakizumab, a novel IL-17A inhibitor, has demonstrated satisfactory efficacy and safety for the treatment of moderate-to-severe plaque psoriasis. This analysis aimed to assess the impact of treatment interruption on the efficacy and safety of vunakizumab in the treatment of this disease. This <i>post-hoc</i> analysis used data from a phase 3 trial of vunakizumab (NCT04839016) that enrolled patients with moderate-to-severe plaque psoriasis. A total of 460 patients received vunakizumab treatment and were included in this analysis. Over the 52-week treatment, 223 patients had one or more treatment interruption, and 237 patients had no treatment interruption. At week 52, patients with treatment interruption had lower achievement rates for Psoriasis Area and Severity Index (PASI) 75 (77.1% vs. 97.9%), PASI 90 (67.3% vs. 94.1%), PASI 100 (49.8% vs. 75.9%), and static Physician's Global Assessment of 0/1 (62.8% vs. 93.7%) than those without interruption (all <i>P</i><0.001). Additionally, at week 52, patients with treatment interruption had lower improvements in patient-reported outcomes (PROs), including Dermatology Life Quality Index score, Itch Numerical Rating Scale score, EuroQol-5D and visual analogue scale score, and Short Form-36 Mental Component Score than those without interruption (all <i>P</i><0.05). Further subgroup analysis indicated that the increased frequency of treatment interruption correlated with poorer PASI responses and PROs (all <i>P</i><0.05). The incidence of overall adverse events was similar between the two groups. Interrupted vunakizumab treatment reduced the clinical response and quality of life in patients with moderate-to-severe plaque psoriasis.","Impact of treatment interruption on the efficacy and safety of vunakizumab in patients with moderate-to-severe plaque psoriasis: a <i>post-hoc</i> analysis of a phase 3 trial. Vunakizumab, a novel IL-17A inhibitor, has demonstrated satisfactory efficacy and safety for the treatment of moderate-to-severe plaque psoriasis. This analysis aimed to assess the impact of treatment interruption on the efficacy and safety of vunakizumab in the treatment of this disease. This <i>post-hoc</i> analysis used data from a phase 3 trial of vunakizumab (NCT04839016) that enrolled patients with moderate-to-severe plaque psoriasis. A total of 460 patients received vunakizumab treatment and were included in this analysis. Over the 52-week treatment, 223 patients had one or more treatment interruption, and 237 patients had no treatment interruption. At week 52, patients with treatment interruption had lower achievement rates for Psoriasis Area and Severity Index (PASI) 75 (77.1% vs. 97.9%), PASI 90 (67.3% vs. 94.1%), PASI 100 (49.8% vs. 75.9%), and static Physician's Global Assessment of 0/1 (62.8% vs. 93.7%) than those without interruption (all <i>P</i><0.001). Additionally, at week 52, patients with treatment interruption had lower improvements in patient-reported outcomes (PROs), including Dermatology Life Quality Index score, Itch Numerical Rating Scale score, EuroQol-5D and visual analogue scale score, and Short Form-36 Mental Component Score than those without interruption (all <i>P</i><0.05). Further subgroup analysis indicated that the increased frequency of treatment interruption correlated with poorer PASI responses and PROs (all <i>P</i><0.05). The incidence of overall adverse events was similar between the two groups. Interrupted vunakizumab treatment reduced the clinical response and quality of life in patients with moderate-to-severe plaque psoriasis.",clinical_comorbidity
41624850,2025,Circulating fibroblasts and neutrophils co-expressing CDH11<sup>+</sup> and chemokine receptors in rheumatoid and psoriatic arthritis: a shared mechanism of 'arthritis spreading'?,"The mechanisms underlying the progression of chronic inflammatory arthritis remain largely unclear. We used single-cell mass cytometry on peripheral blood from patients with active rheumatoid arthritis (RA; n=11), psoriatic arthritis (PsA; n=12), and controls (n=9) to identify circulating cells co-expressing mesenchymal markers, including the homotypic adhesion molecule cadherin-11 (CDH11), and chemokine receptors. Proteomic profiling was performed on matched plasma using Olink. Confocal microscopy was used to investigate cell localization in synovial tissue. Circulating cells co-expressing mesenchymal markers, including the adhesion molecule cadherin-11 (CDH11) and chemokine receptors, were identified. Of them, circulating fibroblasts (podoplanin<sup>+</sup>CD45<sup>-</sup>CD3<sup>-</sup>CD19<sup>-</sup>CD4<sup>-</sup>CD8<sup>-</sup>CD56<sup>-</sup>CD66b<sup>-</sup>CD294<sup>-</sup>) co-expressing CDH11 and C-C Chemokine Receptor 7 (CCR7) were found exclusively in arthritis patients' blood. These cells were not detected in paired bone marrow samples, suggesting their potential origin from inflamed joints. Increased circulating fibrocytes (CD34<sup>+</sup>HLA-DR<sup>+</sup>CD45<sup>+</sup>CD3<sup>-</sup>CD19<sup>-</sup>CD4<sup>-</sup>CD8<sup>-</sup>CD56<sup>-</sup>CD66b<sup>-</sup>CD294<sup>-</sup>) co-expressing CDH11 and CCR7 were also found in patients' blood. These cells were more prevalent in bone marrow, supporting their bone marrow origin. Among various leukocyte subsets, CDH11<sup>+</sup>CD90<sup>+</sup>CCR6<sup>+</sup>neutrophils were markedly elevated in both RA and PsA. These populations persisted after 3 months of antirheumatic drug administration, regardless of treatment response. Proteomic profiling on matched plasma using Olink, revealed that the presence of circulating CDH11<sup>+</sup>fibroblasts was associated with higher C-X-C Motif Chemokine Ligand 1 (CXCL1), Angiopoietin 1 (ANGPT1) and Tissue Inhibitor of Metalloproteinase 3 (TIMP3) levels, proteins involved in angiogenesis, chemotaxis, and matrix remodeling, respectively. Moreover, in patients with detectable circulating CDH11<sup>+</sup>fibroblasts chemokine signaling and cell-substrate adhesion were enriched. Finally, CDH11<sup>+</sup>neutrophils were identified in close proximity to synovial fibroblasts by confocal microscopy in knee-surgery-obtained rheumatoid synovium. Combining our findings with previous data showing circulating pre-inflammatory mesenchymal cells preceding rheumatoid arthritis flares, we propose that a chemokine-orchestrated process, that seems to not being affected by short-term Disease-Modifying Antirheumatic Drug (DMARD) treatment, may contribute to 'arthritis spreading' in both RA and PsA. In this chronic process synovial fibroblasts and fibrocytes with pathogenic potential may migrate into distant synovium through CDH11-mediated homotypic binding.","Circulating fibroblasts and neutrophils co-expressing CDH11<sup>+</sup> and chemokine receptors in rheumatoid and psoriatic arthritis: a shared mechanism of 'arthritis spreading'? The mechanisms underlying the progression of chronic inflammatory arthritis remain largely unclear. We used single-cell mass cytometry on peripheral blood from patients with active rheumatoid arthritis (RA; n=11), psoriatic arthritis (PsA; n=12), and controls (n=9) to identify circulating cells co-expressing mesenchymal markers, including the homotypic adhesion molecule cadherin-11 (CDH11), and chemokine receptors. Proteomic profiling was performed on matched plasma using Olink. Confocal microscopy was used to investigate cell localization in synovial tissue. Circulating cells co-expressing mesenchymal markers, including the adhesion molecule cadherin-11 (CDH11) and chemokine receptors, were identified. Of them, circulating fibroblasts (podoplanin<sup>+</sup>CD45<sup>-</sup>CD3<sup>-</sup>CD19<sup>-</sup>CD4<sup>-</sup>CD8<sup>-</sup>CD56<sup>-</sup>CD66b<sup>-</sup>CD294<sup>-</sup>) co-expressing CDH11 and C-C Chemokine Receptor 7 (CCR7) were found exclusively in arthritis patients' blood. These cells were not detected in paired bone marrow samples, suggesting their potential origin from inflamed joints. Increased circulating fibrocytes (CD34<sup>+</sup>HLA-DR<sup>+</sup>CD45<sup>+</sup>CD3<sup>-</sup>CD19<sup>-</sup>CD4<sup>-</sup>CD8<sup>-</sup>CD56<sup>-</sup>CD66b<sup>-</sup>CD294<sup>-</sup>) co-expressing CDH11 and CCR7 were also found in patients' blood. These cells were more prevalent in bone marrow, supporting their bone marrow origin. Among various leukocyte subsets, CDH11<sup>+</sup>CD90<sup>+</sup>CCR6<sup>+</sup>neutrophils were markedly elevated in both RA and PsA. These populations persisted after 3 months of antirheumatic drug administration, regardless of treatment response. Proteomic profiling on matched plasma using Olink, revealed that the presence of circulating CDH11<sup>+</sup>fibroblasts was associated with higher C-X-C Motif Chemokine Ligand 1 (CXCL1), Angiopoietin 1 (ANGPT1) and Tissue Inhibitor of Metalloproteinase 3 (TIMP3) levels, proteins involved in angiogenesis, chemotaxis, and matrix remodeling, respectively. Moreover, in patients with detectable circulating CDH11<sup>+</sup>fibroblasts chemokine signaling and cell-substrate adhesion were enriched. Finally, CDH11<sup>+</sup>neutrophils were identified in close proximity to synovial fibroblasts by confocal microscopy in knee-surgery-obtained rheumatoid synovium. Combining our findings with previous data showing circulating pre-inflammatory mesenchymal cells preceding rheumatoid arthritis flares, we propose that a chemokine-orchestrated process, that seems to not being affected by short-term Disease-Modifying Antirheumatic Drug (DMARD) treatment, may contribute to 'arthritis spreading' in both RA and PsA. In this chronic process synovial fibroblasts and fibrocytes with pathogenic potential may migrate into distant synovium through CDH11-mediated homotypic binding.",genetics_molecular
41614129,2025,"Pharmacomicrobiomics in inflammatory skin diseases: past, present, and the future.","This mini review article focuses on pharmacomicrobiomics, or the study of how the composition and activity of microorganisms in the body, in particular in the gut, impact drug pharmacokinetics and pharmacodynamics. This evolving field has profound implications for personalized medicine in the management of chronic inflammatory diseases. Particularly in dermatology, patient response to an expanding collection of biologic and small molecule inhibitor therapies coming out on the market remains unpredictable. The decision to start which therapy depends on physician preference, rather than based on what is expected to be the treatment response of each individual. This therapeutic uncertainty leads to sequential treatment failures, increased patient morbidity, and substantial healthcare expenditure. This mini-review synthesizes the evidence surrounding the gut microbiome as a predictive biomarker for therapeutic response in inflammatory skin diseases. We will examine the past use of pharmacomicrobiomics in oncology, where gut microbial signatures were found to predict response to immunotherapy in melanoma. We then analyze the present, focusing on the robust translational models from inflammatory bowel disease (IBD) and rheumatoid arthritis (RA), and the established gut dysbiosis in dermatologic conditions such as psoriasis and hidradenitis suppurativa (HS). Finally, we consider the future, discussing the potential for microbiome-based diagnostics to guide therapy selection for chronic inflammatory skin diseases.","Pharmacomicrobiomics in inflammatory skin diseases: past, present, and the future. This mini review article focuses on pharmacomicrobiomics, or the study of how the composition and activity of microorganisms in the body, in particular in the gut, impact drug pharmacokinetics and pharmacodynamics. This evolving field has profound implications for personalized medicine in the management of chronic inflammatory diseases. Particularly in dermatology, patient response to an expanding collection of biologic and small molecule inhibitor therapies coming out on the market remains unpredictable. The decision to start which therapy depends on physician preference, rather than based on what is expected to be the treatment response of each individual. This therapeutic uncertainty leads to sequential treatment failures, increased patient morbidity, and substantial healthcare expenditure. This mini-review synthesizes the evidence surrounding the gut microbiome as a predictive biomarker for therapeutic response in inflammatory skin diseases. We will examine the past use of pharmacomicrobiomics in oncology, where gut microbial signatures were found to predict response to immunotherapy in melanoma. We then analyze the present, focusing on the robust translational models from inflammatory bowel disease (IBD) and rheumatoid arthritis (RA), and the established gut dysbiosis in dermatologic conditions such as psoriasis and hidradenitis suppurativa (HS). Finally, we consider the future, discussing the potential for microbiome-based diagnostics to guide therapy selection for chronic inflammatory skin diseases.",therapy_treatment
41613117,2025,"The clinical characteristics, mechanism and management of immune checkpoint inhibitor-related arthritis.","Immune-related adverse events, notably arthritis (irAE-arthritis), frequently occur in patients receiving immune checkpoint inhibitors. Arthritis severity varies from mild to severe, adversely impacting quality of life. Despite reports in clinical trials and real-world studies, the pathophysiology and optimal management of irAE-associated arthritis (irAE-arthritis) are still unclear. From the inception to September 25, 2025, a search was conducted on PubMed, EMBASE, and MEDLINE for case reports/series on irAE-arthritis. The most common rheumatic irAEs were arthritis. Various rheumatic syndromes have been reported, such as arthralgia, mono-/oligo-/polyarthritis, reactive and psoriatic arthritis, RS3PE, tenosynovitis. The onset of irAE-arthritis is attributed to T cell dysregulation, B cell activation with autoantibody production, cytokine - mediated inflammation, and impaired immune tolerance due to Treg dysfunction. NSAIDs, intra-articular/systemic corticosteroids, csDMARDs, and biologics play key roles in irAE-arthritis management, and JAK inhibitors may emerge as a significant therapeutic strategy in the future. Given the increasing use of immunotherapy in oncology and other fields, developing a comprehensive understanding of irAE-arthritis is crucial. This review aims to provide an in-depth overview of current knowledge on irAE-arthritis, including its epidemiology, clinical presentation, underlying mechanisms, and management approaches.","The clinical characteristics, mechanism and management of immune checkpoint inhibitor-related arthritis. Immune-related adverse events, notably arthritis (irAE-arthritis), frequently occur in patients receiving immune checkpoint inhibitors. Arthritis severity varies from mild to severe, adversely impacting quality of life. Despite reports in clinical trials and real-world studies, the pathophysiology and optimal management of irAE-associated arthritis (irAE-arthritis) are still unclear. From the inception to September 25, 2025, a search was conducted on PubMed, EMBASE, and MEDLINE for case reports/series on irAE-arthritis. The most common rheumatic irAEs were arthritis. Various rheumatic syndromes have been reported, such as arthralgia, mono-/oligo-/polyarthritis, reactive and psoriatic arthritis, RS3PE, tenosynovitis. The onset of irAE-arthritis is attributed to T cell dysregulation, B cell activation with autoantibody production, cytokine - mediated inflammation, and impaired immune tolerance due to Treg dysfunction. NSAIDs, intra-articular/systemic corticosteroids, csDMARDs, and biologics play key roles in irAE-arthritis management, and JAK inhibitors may emerge as a significant therapeutic strategy in the future. Given the increasing use of immunotherapy in oncology and other fields, developing a comprehensive understanding of irAE-arthritis is crucial. This review aims to provide an in-depth overview of current knowledge on irAE-arthritis, including its epidemiology, clinical presentation, underlying mechanisms, and management approaches.",clinical_comorbidity
41613106,2025,Fc-enhanced anti-CCR6 antibody elicits robust therapeutic effects across multiple autoimmune diseases.,"Activation of the chemokine receptor CCR6 orchestrates the trafficking of IL-17-producing pathogenic immune cells to the sites of inflammation, thus contributing to the development of numerous inflammatory and autoimmune diseases. As such, CCR6 has emerged as a promising therapeutic target for treating Th17-mediated inflammatory disorders. In this study, we employed a targeted strategy, which we termed 'immunological surgery', using an Fc-engineered anti-human CCR6 monoclonal antibody (αhCCR6 DLE-mut mAb) designed to engage effector mechanisms against CCR6<sup>+</sup> immune cells and deplete them. We evaluated the therapeutic efficacy of this approach in preclinical mouse models of representative autoimmune conditions, including scleroderma, psoriasis, and rheumatoid arthritis. Selective targeting of CCR6<sup>+</sup> cells with αhCCR6 DLE-mut mAb exhibited remarkable efficacy in reducing established inflammation across all disease models. In a bleomycin-induced scleroderma model, αhCCR6 mAb treatment markedly reduced dermal thickening and attenuated scleroderma-associated lung inflammation and fibrosis. In the imiquimod-induced psoriasis model, administration of αhCCR6 mAb led to significant reductions in skin thickening, epidermal hyperplasia, and dermal immune cell infiltration. Similarly, in the collagen-induced arthritis (CIA) model, αhCCR6 mAb treatment significantly alleviated all signs of joint inflammation. Thus, our findings demonstrated that CCR6-targeted therapy could be a promising and effective approach for the treatment of Th17-mediated inflammatory disorders. Moreover, we believe this approach may overcome the challenge of chemokine receptor redundancy by leveraging receptor-specific signatures to eliminate pathogenic leukocyte subsets with high precision.","Fc-enhanced anti-CCR6 antibody elicits robust therapeutic effects across multiple autoimmune diseases. Activation of the chemokine receptor CCR6 orchestrates the trafficking of IL-17-producing pathogenic immune cells to the sites of inflammation, thus contributing to the development of numerous inflammatory and autoimmune diseases. As such, CCR6 has emerged as a promising therapeutic target for treating Th17-mediated inflammatory disorders. In this study, we employed a targeted strategy, which we termed 'immunological surgery', using an Fc-engineered anti-human CCR6 monoclonal antibody (αhCCR6 DLE-mut mAb) designed to engage effector mechanisms against CCR6<sup>+</sup> immune cells and deplete them. We evaluated the therapeutic efficacy of this approach in preclinical mouse models of representative autoimmune conditions, including scleroderma, psoriasis, and rheumatoid arthritis. Selective targeting of CCR6<sup>+</sup> cells with αhCCR6 DLE-mut mAb exhibited remarkable efficacy in reducing established inflammation across all disease models. In a bleomycin-induced scleroderma model, αhCCR6 mAb treatment markedly reduced dermal thickening and attenuated scleroderma-associated lung inflammation and fibrosis. In the imiquimod-induced psoriasis model, administration of αhCCR6 mAb led to significant reductions in skin thickening, epidermal hyperplasia, and dermal immune cell infiltration. Similarly, in the collagen-induced arthritis (CIA) model, αhCCR6 mAb treatment significantly alleviated all signs of joint inflammation. Thus, our findings demonstrated that CCR6-targeted therapy could be a promising and effective approach for the treatment of Th17-mediated inflammatory disorders. Moreover, we believe this approach may overcome the challenge of chemokine receptor redundancy by leveraging receptor-specific signatures to eliminate pathogenic leukocyte subsets with high precision.",immune_inflammation
