text,true_label,pred_label,orig_index
"Psychiatric Comorbidities in Patients with Psoriasis: A 10-Year Retrospective Epidemiological Study from a Tertiary University Center in Northeastern Romania. <i>Background and Objectives:</i> Psoriasis (PsO) is a chronic autoimmune inflammatory skin disorder frequently associated with psychiatric and psychological burden. The objective of this study was to determine the incidence of psychiatric comorbidities in patients with PsO from a dermatology clinic of a university hospital in northeastern Romania, thereby providing physicians with evidence to support more holistic and integrated care approaches. <i>Materials and Methods:</i> This is a 10-year retrospective epidemiological study on 2219 patients diagnosed with PsOwho were admitted to a Romanian university hospital between January 2013 and December 2022. Psychiatric and dermatological diagnoses were extracted from medical records using International Classification of Diseases-Tenth Revision (ICD-10) codes. Relative risks (RR) and 95% confidence intervals (CI) were calculated using Cox proportional hazards models, with <i>p</i> < 0.05 considered statistically significant. <i>Results:</i> Among 2219 patients, the most common psychiatric comorbidities were unspecified depressive disorder (120 patients, 5.4%, <i>p</i> < 0.01), mixed anxiety-depressive disorder (34 patients, 1.5%, <i>p</i> < 0.01), and mild depression (24 patients, 1.1%, <i>p</i> < 0.01). Female PsO patients demonstrated a relative risk (RR) [95% confidence interval (CI)] of 1.55 [1.12-2.14] (<i>p</i> = 0.007) for developing psychiatric comorbidities compared to males. Patients aged less than 18 years exhibited an RR [95% CI] of 2.032 [1.297-3.186] (<i>p</i> = 0.002) for psycho-emotional stress, the highest among all age groups. Notably, patients with concurrent psoriatic arthritis (PsA) showed a significantly elevated risk with RR [95% CI] of 1.546 [1.06-2.20] (<i>p</i> = 0.002). <i>Conclusions:</i> Depression and anxiety represent substantial psychiatric comorbidities in PsO patients, particularly affecting female individuals, younger patients, and those with concurrent PsA. These findings underscore the necessity for integrated mental health screening and psychological support within dermatological care protocols.",immune_inflammation,clinical_comorbidity,88
"The Role of Stem Cell Polyphenols in Wound Healing: A Narrative Review. Stem cell polyphenols represent a promising avenue for enhancing wound healing through their multifaceted biological activities. Polyphenols, naturally occurring compounds with potent antioxidant properties, can modulate inflammatory responses, reduce oxidative stress, and promote the proliferation and migration of essential cells involved in tissue repair, such as fibroblasts and keratinocytes. Additionally, they play a critical role in angiogenesis, facilitating improved blood supply to healing tissues. Research indicates that the synergistic use of polyphenols with stem cell therapies could further optimize wound healing outcomes by enhancing stem cell function and survival. As conventional skin disease treatments, primarily corticosteroids, often provide only temporary relief and come with significant side effects, there is increasing interest in stem cell therapies for skin conditions. Stem cells have shown positive outcomes in treating eczema, psoriasis, diabetic wounds, and burns, utilizing both animal and plant stem cell products. However, plant-derived stem cells and natural products, including phytochemicals like resveratrol and curcumin, are preferred due to their reduced side effects and sustainability. These natural compounds aid all stages of wound healing by modulating signaling pathways associated with skin repair and regeneration, thereby minimizing residual wound effects. This review explores the effectiveness of specific natural products and introduces plant derivatives, including plant stem cells and cytokines, highlighting their potential in advancing therapeutic strategies for improved wound healing and skin regeneration. Further clinical investigations are needed to elucidate the optimal types and dosages of polyphenols for clinical applications in regenerative medicine.",therapy_treatment,immune_inflammation,13
"Phosphodiesterase 4 inhibitor combined with secukinumab relieves clinical symptoms in patients with psoriasis via regulating p38MAPK activation and the immune response inflammation. The purpose of the present study was to explore the effect of phosphodiesterase 4 (PDE-4) inhibitor combined with secukinumab monoclonal antibody on the activation level of p38 mitogen-activated protein kinases (p38MAPK) in psoriatic leukocytes. The clinical data of 60 patients with psoriasis were retrospectively analyzed, and they were divided into a control group (secukinumab monotherapy, 30 cases) and a study group (PDE-4 inhibitory therapy). Agent combined with secukinumab treatment(30 cases), all were treated for 3 months. The Psoriasis Area and Severity Index (PASI), clinical symptom score, serum inflammatory factors, p38MAPK gene expression in lesion tissue, and clinical outcome were compared between the two groups. After treatment, the PSAI score (t=5.051) and symptom score (t=14.102) of the study group were lower than those of the control group, and the relative expression of interleukin-6 (IL-6) (t=7.514) and p38MAPK (t=4.219), the relative expression of interleukin-17 (IL-17) (t=2.579) was lower than that of the control group. The total effective rate in the study group (83.33% vs. 60.00%) was higher than that in the control group. Secukinumab along with phosphodiesterase 4 inhibitors reduces p38MAPK activation, and improves immune response, inflammation, and clinical symptoms in patients with psoriasis.",immune_inflammation,therapy_treatment,2
"Sulfated Hyaluronan in Dermatology: What's New? Overview of Evidence in Specific Dermatological Diseases. <b>Background/Objectives:</b> Sulfated hyaluronic acid (sHA) is a chemically modified derivative of native hyaluronic acid (HA), characterized by enhanced physicochemical stability and increased biological activity. Glycosaminoglycans (GAGs), including HA, are key regulators of skin structure, hydration, and immune homeostasis. This review aims to critically summarize current knowledge on the structural and functional properties of GAGs-particularly HA and its sulfated forms-and to explore their potential dermatological applications in skin aging and inflammatory diseases such as atopic dermatitis, psoriasis, and acne. <b>Methods:</b> A narrative literature review was conducted using PubMed and Scopus databases up to June 2025, including experimental, preclinical, and clinical studies investigating the biological effects, mechanisms of action, and dermatological uses of sHA compared with native HA and other HA derivatives. <b>Results:</b> Compared with HA, sHA demonstrates increased enzymatic resistance, higher charge density, and improved water-binding and antioxidant capacity. These properties contribute to the restoration of skin barrier function, modulation of oxidative stress and inflammation, and promotion of extracellular matrix remodeling. Preclinical evidence supports the efficacy of sHA in reducing dryness, irritation, and inflammatory responses in atopic dermatitis, psoriasis, and acne. Preliminary findings also suggest potential benefits in wound healing and skin barrier repair. <b>Conclusions:</b> sHA represents a promising multifunctional molecule in dermatology and cosmetology, capable of reducing inflammation and supporting tissue regeneration. However, current evidence remains limited to preliminary studies. Future controlled clinical trials are required to confirm efficacy, optimize formulations, and establish standardized treatment protocols.",immune_inflammation,therapy_treatment,86
"Mechanisms and Repair of Skin Barrier Dysfunction: The TLC Strategy. The skin barrier functions as a key line of defense with physical, chemical, microbial, and immunological components that act synergistically to protect the body against extrinsic antigens, microbes, and ultraviolet rays and prevent loss of nutrients and moisture from the body. Skin barrier dysfunction is caused by various factors, including environmental stressors, genetic predisposition, psychological stress, and inadequate nutrition. These factors can lead to metabolic, immunological, and microbial disorders of the skin barrier, which are associated with skin diseases, such as sensitive skin, rosacea, atopic dermatitis, and psoriasis, and can significantly diminish quality of life. Significant progress has been made in the development of strategies to repair skin barrier dysfunctions. In this review, we propose a repair strategy based on the ""TLC"" concept: ""target skin disruption, lock in moisture, and connect skin cells."" Targeting skin disruption involves the implementation of interventions for skin barrier disorders, including ceramide supplementation, pH regulation, and optimized immunomodulation, to restore the metabolic, immunological, and microbial balance of the skin. Locking in moisture involves promoting moisturization and moisture retention to enhance skin hydration by reducing water loss and promoting water absorption and transport. Connecting skin cells involves the restoration of intercellular connections and the lipid bilayer structure of the stratum corneum, thereby enhancing epidermal connectivity and reinforcing the skin barrier. This multilevel strategy offers new avenues for mitigating skin barrier dysfunctions and related diseases and is of great significance in clinical applications.",genetics_molecular,therapy_treatment,207
"Neuropsychiatric Outcomes of IL-17 and IL-23 Inhibitors in Dermatology: Risks, Benefits, and Clinical Implications.",clinical_comorbidity,immune_inflammation,171
"Glucagon-Like Peptide-1 Receptor Agonists, Sodium-Glucose Cotransporter-2 Inhibitors, and Risk of Autoimmune Rheumatic Diseases. GLP-1 receptor agonists (GLP-1RAs) and SGLT2 inhibitors (SGLT2is) facilitate weight loss and exhibit immunomodulatory effects, but their impact on the risk of developing autoimmune rheumatic diseases (ARDs) is unclear. We compared ARD incidence following initiation of GLP-1RAs, or SGLT2is, vs. a weight-neutral comparator (DPP4 inhibitors, DPP4is). We performed a population-based cohort study using administrative health data from a Canadian province with universal healthcare. We included adults with type 2 diabetes (T2D) and no prior ARD initiating a GLP-1RA, SGLT2i, or DPP4i between 2014/01/01 and 2022/12/31. Incident ARD cases, including rheumatoid arthritis, psoriatic disease, axial spondyloarthritis, and systemic ARDs (SARDs; systemic lupus erythematosus, systemic sclerosis, Sjögren's disease, idiopathic inflammatory myopathies, and systemic vasculitides), were identified using validated algorithms. Propensity score (PS) weighting was used to balance cohorts at treatment initiation, then hazard ratios (HRs) were estimated using Cox regression. Among 229,300 adults, 49,514 initiated GLP-1RAs, 101,925 initiated SGLT2is, and 77,861 initiated DPP4is. After PS weighting, ARD incidence per 10,000 person-years was 29.1 (95% CI, 23.5-35.5) with GLP-1RAs, 24.4 (19.8-29.7) with SGLT2is, and 27.3 (22.1-33.4) with DPP4is. Mean follow-up was 1.3-1.6 years. Relative to DPP4is, adjusted HRs of ARD were 1.04 (0.81-1.33) with GLP-1RAs and 0.93 (0.75-1.16) with SGLT2is. Risk of SARDs, but not other diseases, was lower with SGLT2is vs. DPP4is (aHR, 0.51 [0.31-0.84]). Neither GLP-1RA nor SGLT2i treatment was associated with lower ARD risk vs. DPP4is in adults with T2D; however, SGLT2i use was associated with significantly lower risk of SARDs, warranting further study.",immune_inflammation,clinical_comorbidity,101
Dual JAK and IL-23 blockade: A mechanistically supported strategy in refractory psoriatic arthritis. A case report.,clinical_comorbidity,immune_inflammation,191
"Impact of treatment interruption on the efficacy and safety of vunakizumab in patients with moderate-to-severe plaque psoriasis: a <i>post-hoc</i> analysis of a phase 3 trial. Vunakizumab, a novel IL-17A inhibitor, has demonstrated satisfactory efficacy and safety for the treatment of moderate-to-severe plaque psoriasis. This analysis aimed to assess the impact of treatment interruption on the efficacy and safety of vunakizumab in the treatment of this disease. This <i>post-hoc</i> analysis used data from a phase 3 trial of vunakizumab (NCT04839016) that enrolled patients with moderate-to-severe plaque psoriasis. A total of 460 patients received vunakizumab treatment and were included in this analysis. Over the 52-week treatment, 223 patients had one or more treatment interruption, and 237 patients had no treatment interruption. At week 52, patients with treatment interruption had lower achievement rates for Psoriasis Area and Severity Index (PASI) 75 (77.1% vs. 97.9%), PASI 90 (67.3% vs. 94.1%), PASI 100 (49.8% vs. 75.9%), and static Physician's Global Assessment of 0/1 (62.8% vs. 93.7%) than those without interruption (all <i>P</i><0.001). Additionally, at week 52, patients with treatment interruption had lower improvements in patient-reported outcomes (PROs), including Dermatology Life Quality Index score, Itch Numerical Rating Scale score, EuroQol-5D and visual analogue scale score, and Short Form-36 Mental Component Score than those without interruption (all <i>P</i><0.05). Further subgroup analysis indicated that the increased frequency of treatment interruption correlated with poorer PASI responses and PROs (all <i>P</i><0.05). The incidence of overall adverse events was similar between the two groups. Interrupted vunakizumab treatment reduced the clinical response and quality of life in patients with moderate-to-severe plaque psoriasis.",clinical_comorbidity,therapy_treatment,5
"Tuberculosis incidence in patients treated with secukinumab - a real-world study in Brazil. Tuberculosis (TB) remains a global health challenge, especially in low- and middle-income countries. Tumor necrosis factor alpha (TNFα) plays a crucial role in the immune response to TB. TNF inhibitors were the first biologic agents approved for treating chronic inflammatory diseases such as psoriasis (PsO), axial spondyloarthritis (axSpA) and psoriatic arthritis (PsA). Despite their efficacy, TB risk is a concern. The development of new biological therapies, as IL-17 inhibitors, has improved these diseases' management; however, data regarding TB risk remain scarce. This study assessed TB incidence in Brazilian patients with PsO, axSpA and PsA treated with secukinumab. This real-world retrospective study included Brazilian patients treated for at least 24 months, aged ≥ 18 years, without confirmed tuberculosis diseaseTBD. Data were extracted from medical charts. Descriptive analyses used mean or median, standard deviations, and quartiles for continuous variables and absolute frequencies and percentages for categorical variables with 95% confidence intervals calculation, as applicable. 152 participants were included, with a mean follow-up of 40.1 months, predominantly PsA (n = 90) and white (84.6%), with an average age of 52 years (IQR: 42-61) and a slightly male predominance (50.7%). Hypertension for PsA (11.9%) and PsO (16.3%), and fibromyalgia for axSpA (16.0%) patients were the most common comorbidities. PsO patients had the longest disease duration (184.6 months). Secukinumab loading doses were administered to 141 patients, with 78% receiving 300 mg. Maintenance doses were 300 mg for 77% of the patients. Secukinumab treatment was discontinued in 18 patients (11.8%). On average, patients were on 3.35 concomitant medications before secukinumab, dropping to 2.26 afterward, with methotrexate being the most used medication before secukinumab. No TBD cases were recorded. Tuberculosis infection (TBI) testing showed some positive results, and preventiveantibiotic therapy was administered as needed. Most patients remained negative for TBI after treatment. No safety-related information was detailed. This real-world evidence study demonstrated that no TBD cases were recorded even after receiving secukinumab, and most patients were negative for TBI. Further studies are recommended to enhance the knowledge of TB prevention among patients with axSpA, PsO, and PsA.",therapy_treatment,clinical_comorbidity,114
